BatchID,	Part Name,	Measurement Name,	LSL,	LCL,	Nominal Value,	UCL,	USL,	Mean,	Standard Deviation,	Variance,	Cp,	Cpk
Batch_1_TVAS_STM_1_TT-1478_3630568772,TT-1478,H,1.4000,1.8000,2.0000,1.4000,1.8000,1.549,0.011,0.000,6.226,4.650
Batch_1_TVAS_STM_1_TT-1478_3630568772,TT-1478,W,2.9000,3.1000,2.2500,2.9000,3.1000,2.804,0.429,0.184,0.078,-0.075
Batch_1_TVAS_STM_1_TT-1478_3630568772,TT-1478,W1,4.6000,5.0000,3.0000,4.6000,5.0000,4.117,1.458,2.126,0.046,-0.110
