Part Name,	Batch ID,	Operator Name,	Date,	Time,	Curl Width,	C.B Width,	F.B Width,	F.C.B Height,	F.P.B Height,	F.Curl Height,	B Curl Height,	B.C.B Height,	B.P.B Height,	Twist,	11',	12',	13',	14',	15',	Result,	Reason For Fail
,	,	,	,	,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	66.0000-100.000,	-100.0000-100.000,	,	
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3637719159,deep,10-Apr-2019,11:02,5.001,1.856,2.431,3.937,3.937,3.937,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,Disabled,Fail,
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3637719159,deep,10-Apr-2019,11:02,4.966,1.951,2.565,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,Disabled,Fail,
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3637719159,deep,10-Apr-2019,11:03,4.950,1.919,2.519,1.052,1.052,1.052,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,Disabled,Fail,
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3637719159,deep,10-Apr-2019,11:03,4.938,1.946,2.557,3.943,3.943,3.943,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,Disabled,Fail,
