BatchID,	Part Name,	Measurement Name,	LSL,	LCL,	Nominal Value,	UCL,	USL,	Mean,	Standard Deviation,	Variance,	Cp,	Cpk
Batch_1_TVAS_STM_1_TT-1478_3630567081,TT-1478,H,1.4000,1.8000,2.0000,1.4000,1.8000,1.549,0.010,0.000,6.560,4.889
Batch_1_TVAS_STM_1_TT-1478_3630567081,TT-1478,W,2.9000,3.1000,2.2500,2.9000,3.1000,3.002,0.013,0.000,2.655,2.593
Batch_1_TVAS_STM_1_TT-1478_3630567081,TT-1478,W1,4.6000,5.0000,3.0000,4.6000,5.0000,4.793,0.017,0.000,3.813,3.678
