PartName,	BatchID,	OperatorName,	Date,	Time,	L,	H,	W,	W1,	C1,	C2,	I1,	I2,	W3,	Result
,	,	,	,	,	23.5000-24.100,	1.9000-2.300,	2.1500-2.350,	2.9000-3.100,	2.5000-2.900,	2.6000-3.200,	4.6000-5.000,	3.8000-4.400,	2.6000-3.300,	
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3629794490,ddd,08-Jan-2019,17:44,0.000,Disabled,0.000,0.003,2.376,2.438,2.440,2.322,Disabled,Fail
