PartName,	BatchID,	OperatorName,	Date,	Time,	L,	H,	W,	W3,	C1,	C2,	I1,	Dia,	Result
,	,	,	,	,	16.7000-17.300,	2.4000-2.600,	2.9000-3.100,	3.0000-3.400,	3.3000-3.700,	3.1000-3.500,	3.8000-4.200,	1.9000-2.100,	
TT-1524,Batch_1_TVAS_STM_1_TT-1524_3630483625,fgf,16-Jan-2019,17:10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Disabled,Fail
