PartName,	BatchID,	OperatorName,	Date,	Time,	Curl Width,	C.B Width,	F.B Width,	F.C.B Height,	F.P.B Height,	F.Curl Height,	B Curl Height,	B.C.B Height,	B.P.B Height,	Twist,	11',	12',	13',	14',	15',	Result
,	,	,	,	,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3643613487,test,17-Jun-2019,16:21,5.001,1.856,2.431,3.937,3.937,3.937,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,Disabled,Pass
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3643613487,test,17-Jun-2019,16:21,4.966,1.951,2.565,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,Disabled,Pass
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3643613487,test,17-Jun-2019,16:21,4.950,1.919,2.519,3.943,3.943,3.943,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,Disabled,Pass
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3643613487,test,17-Jun-2019,16:21,4.938,1.946,2.557,1.493,1.493,1.493,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,Disabled,Pass
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3643613487,test,17-Jun-2019,16:21,4.937,1.936,2.543,1.052,1.052,1.052,1.036,1.036,1.036,1.036,1.036,1.036,1.036,1.036,Disabled,Pass
