BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,04-Apr-2019 12:25:47,Machine Start,0
None,None,GTRON_V1.3_DHOOT_DHOOT-VIP 3_26-09-2018,Ready,04-Apr-2019 12:25:50,Inspection Ready,0
None,None,GTRON_V1.3_DHOOT_DHOOT-VIP 3_26-09-2018,Select,04-Apr-2019 12:26:26,Part Select,36
Batch_1_DAUR_STM_1_70101001-00_3637205793,None,GTRON_V1.3_DHOOT_DHOOT-VIP 3_26-09-2018,BatchStart,04-Apr-2019 12:26:33,Batch Start,7
None,None,GTRON_V1.3_DHOOT_DHOOT-VIP 3_26-09-2018,Exit,04-Apr-2019 12:27:00,Software Exit,0
