BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,17-Jan-2019 16:28:16,Machine Start,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Ready,17-Jan-2019 16:28:16,Inspection Ready,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Select,17-Jan-2019 16:28:36,Part Select,20
Batch_1_TVAS_STM_1_TT-1478_3630567518,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,17-Jan-2019 16:28:38,Batch Start,2
Batch_1_TVAS_STM_1_TT-1478_3630567518,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchEnd,17-Jan-2019 16:30:18,Batch End,0
Batch_1_TVAS_STM_1_TT-1478_3630567518,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Pause,17-Jan-2019 16:30:18,Batch End,0
Batch_2_TVAS_STM_1_TT-1478_3630568235,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,17-Jan-2019 16:40:35,Batch Start,617
Batch_2_TVAS_STM_1_TT-1478_3630568235,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchEnd,17-Jan-2019 16:42:14,Batch End,0
Batch_2_TVAS_STM_1_TT-1478_3630568235,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Pause,17-Jan-2019 16:42:14,Batch End,0
Batch_2_TVAS_STM_1_TT-1478_3630568235,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Pause,17-Jan-2019 16:43:09,Accidental Press,55
Batch_3_TVAS_STM_1_TT-1478_3630568391,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,17-Jan-2019 16:43:11,Batch Start,2
Batch_3_TVAS_STM_1_TT-1478_3630568391,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Stop,17-Jan-2019 16:43:26,Not Listed: Stop,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Exit,17-Jan-2019 16:43:29,Software Exit,3
