BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,17-Jan-2019 16:12:59,Machine Start,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Ready,17-Jan-2019 16:13:00,Inspection Ready,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Select,17-Jan-2019 16:13:24,Part Select,24
Batch_1_TVAS_STM_1_TT-1478_3630566612,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,17-Jan-2019 16:13:32,Batch Start,8
Batch_1_TVAS_STM_1_TT-1478_3630566612,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchEnd,17-Jan-2019 16:15:35,Batch End,0
Batch_1_TVAS_STM_1_TT-1478_3630566612,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Pause,17-Jan-2019 16:15:35,Batch End,0
Batch_2_TVAS_STM_1_TT-1478_3630566788,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,17-Jan-2019 16:16:28,Batch Start,53
Batch_2_TVAS_STM_1_TT-1478_3630566788,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Pause,17-Jan-2019 16:16:45,Not Listed: Pause,0
Batch_2_TVAS_STM_1_TT-1478_3630566788,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Stop,17-Jan-2019 16:18:10,Not Listed: Stop,85
Batch_2_TVAS_STM_1_TT-1478_3630566788,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Stop,17-Jan-2019 16:18:14,Not Listed: Stop,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Exit,17-Jan-2019 16:18:15,Software Exit,1
