BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,08-Jan-2019 11:06:03,Machine Start,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Ready,08-Jan-2019 11:06:03,Inspection Ready,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Select,08-Jan-2019 11:06:14,Part Select,11
Batch_1_TVAS_STM_1_TT-1478_3629770582,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,08-Jan-2019 11:06:22,Batch Start,8
Batch_1_TVAS_STM_1_TT-1478_3629770582,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,FailPause,08-Jan-2019 11:06:28,Oil Issue,0
Batch_1_TVAS_STM_1_TT-1478_3629770582,Batch_1_TVAS_STM_1_TT-1478_3629770582_3629770588,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Stop,08-Jan-2019 11:06:40,Day End,12
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Exit,08-Jan-2019 11:06:48,Software Exit,8
