BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,05-Apr-2019 17:18:34,Machine Start,0
None,None,GTRON_V1.3_DHOOT_DHOOT-VIP 3_26-09-2018,Ready,05-Apr-2019 17:18:43,Inspection Ready,0
None,None,GTRON_V1.3_DHOOT_DHOOT-VIP 3_26-09-2018,Select,05-Apr-2019 17:19:11,Part Select,28
Batch_1_DAUR_STM_1_72100701-10_3637309756,None,GTRON_V1.3_DHOOT_DHOOT-VIP 3_26-09-2018,BatchStart,05-Apr-2019 17:19:16,Batch Start,5
None,None,GTRON_V1.3_DHOOT_DHOOT-VIP 3_26-09-2018,Exit,05-Apr-2019 17:19:30,Software Exit,0
