BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,17-Jan-2019 15:57:44,Machine Start,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Ready,17-Jan-2019 15:57:45,Inspection Ready,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Select,17-Jan-2019 15:58:08,Part Select,23
Batch_1_TVAS_STM_1_TT-1478_3630565717,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,17-Jan-2019 15:58:37,Batch Start,29
Batch_1_TVAS_STM_1_TT-1478_3630565717,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchEnd,17-Jan-2019 15:58:47,Batch End,0
Batch_1_TVAS_STM_1_TT-1478_3630565717,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Pause,17-Jan-2019 15:58:47,Batch End,0
Batch_2_TVAS_STM_1_TT-1478_3630565736,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,17-Jan-2019 15:58:56,Batch Start,9
Batch_2_TVAS_STM_1_TT-1478_3630565736,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchEnd,17-Jan-2019 15:59:43,Batch End,0
Batch_2_TVAS_STM_1_TT-1478_3630565736,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Pause,17-Jan-2019 15:59:43,Batch End,0
Batch_3_TVAS_STM_1_TT-1478_3630565971,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,17-Jan-2019 16:02:51,Batch Start,188
Batch_3_TVAS_STM_1_TT-1478_3630565971,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchEnd,17-Jan-2019 16:03:38,Batch End,0
Batch_3_TVAS_STM_1_TT-1478_3630565971,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Pause,17-Jan-2019 16:03:38,Batch End,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Exit,17-Jan-2019 16:08:22,Software Exit,284
