BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,08-Jan-2019 11:10:41,Machine Start,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Ready,08-Jan-2019 11:10:42,Inspection Ready,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Select,08-Jan-2019 11:11:16,Part Select,34
Batch_1_TVAS_STM_1_TT-1478_3629770878,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,08-Jan-2019 11:11:18,Batch Start,2
Batch_1_TVAS_STM_1_TT-1478_3629770878,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,FailPause,08-Jan-2019 11:11:22,Oil Issue,0
Batch_1_TVAS_STM_1_TT-1478_3629770878,Batch_1_TVAS_STM_1_TT-1478_3629770878_3629770882,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Run,08-Jan-2019 11:11:23,Oil Issue,1
Batch_1_TVAS_STM_1_TT-1478_3629770878,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,FailPause,08-Jan-2019 11:11:26,Oil Issue,0
Batch_1_TVAS_STM_1_TT-1478_3629770878,Batch_1_TVAS_STM_1_TT-1478_3629770878_3629770886,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Run,08-Jan-2019 11:11:28,Oil Issue,2
Batch_1_TVAS_STM_1_TT-1478_3629770878,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,FailPause,08-Jan-2019 11:11:31,Dust Issue,0
Batch_1_TVAS_STM_1_TT-1478_3629770878,Batch_1_TVAS_STM_1_TT-1478_3629770878_3629770891,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Stop,08-Jan-2019 11:11:42,Day End,11
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Exit,08-Jan-2019 11:11:45,Software Exit,3
