BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,21-Jan-2019 11:11:21,Machine Start,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Ready,21-Jan-2019 11:11:22,Inspection Ready,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Select,21-Jan-2019 11:11:38,Part Select,16
Batch_1_TVAS_STM_1_TT-1478_3630894100,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,21-Jan-2019 11:11:40,Batch Start,2
Batch_1_TVAS_STM_1_TT-1478_3630894100,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Pause,21-Jan-2019 11:11:45,Not Listed: Pause,0
Batch_1_TVAS_STM_1_TT-1478_3630894100,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Run,21-Jan-2019 11:12:20,Not Listed: Pause,35
Batch_1_TVAS_STM_1_TT-1478_3630894100,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Pause,21-Jan-2019 11:12:32,Not Listed: Pause,0
Batch_1_TVAS_STM_1_TT-1478_3630894100,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Run,21-Jan-2019 11:16:43,Not Listed: Pause,251
Batch_1_TVAS_STM_1_TT-1478_3630894100,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,FailPause,21-Jan-2019 11:16:55,Not Listed: Fail,0
Batch_1_TVAS_STM_1_TT-1478_3630894100,Batch_1_TVAS_STM_1_TT-1478_3630894100_3630894415,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Run,21-Jan-2019 11:16:59,Not Listed: Fail,4
Batch_1_TVAS_STM_1_TT-1478_3630894100,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,FailPause,21-Jan-2019 11:16:59,Not Listed: Fail,0
Batch_1_TVAS_STM_1_TT-1478_3630894100,Batch_1_TVAS_STM_1_TT-1478_3630894100_3630894419,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Run,21-Jan-2019 11:17:03,Not Listed: Fail,4
Batch_1_TVAS_STM_1_TT-1478_3630894100,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,FailPause,21-Jan-2019 11:17:03,Not Listed: Fail,0
None,Batch_1_TVAS_STM_1_TT-1478_3630894100_3630894423,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Exit,21-Jan-2019 11:17:26,Software Exit,23
