BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,14-Feb-2019 15:34:21,Machine Start,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Ready,14-Feb-2019 15:34:22,Inspection Ready,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Select,14-Feb-2019 15:34:51,Part Select,29
Batch_1_TVAS_STM_1_TT-1478_3632983501,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,14-Feb-2019 15:35:01,Batch Start,10
Batch_1_TVAS_STM_1_TT-1478_3632983501,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Pause,14-Feb-2019 15:35:09,Not Listed: Pause,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Exit,14-Feb-2019 15:35:42,Software Exit,33
