BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,17-Jan-2019 15:56:30,Machine Start,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Ready,17-Jan-2019 15:56:31,Inspection Ready,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Select,17-Jan-2019 15:56:49,Part Select,18
Batch_1_TVAS_STM_1_TT-1478_3630565611,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,17-Jan-2019 15:56:51,Batch Start,2
Batch_1_TVAS_STM_1_TT-1478_3630565611,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchEnd,17-Jan-2019 15:57:01,Batch End,0
Batch_1_TVAS_STM_1_TT-1478_3630565611,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Pause,17-Jan-2019 15:57:01,Batch End,0
Batch_2_TVAS_STM_1_TT-1478_3630565627,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,17-Jan-2019 15:57:07,Batch Start,6
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Exit,17-Jan-2019 15:57:37,Software Exit,0
