BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,21-Jan-2019 11:41:01,Machine Start,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Ready,21-Jan-2019 11:41:02,Inspection Ready,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Select,21-Jan-2019 11:41:42,Part Select,40
Batch_1_TVAS_STM_1_TT-1478_3630895907,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,21-Jan-2019 11:41:47,Batch Start,5
Batch_1_TVAS_STM_1_TT-1478_3630895907,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Pause,21-Jan-2019 11:41:50,Not Listed: Pause,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Exit,21-Jan-2019 11:45:16,Software Exit,206
