BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,17-Jan-2019 16:21:06,Machine Start,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Ready,17-Jan-2019 16:21:07,Inspection Ready,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Select,17-Jan-2019 16:21:19,Part Select,12
Batch_1_TVAS_STM_1_TT-1478_3630567081,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,17-Jan-2019 16:21:21,Batch Start,2
Batch_1_TVAS_STM_1_TT-1478_3630567081,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Pause,17-Jan-2019 16:23:12,Not Listed: Pause,0
Batch_1_TVAS_STM_1_TT-1478_3630567081,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Run,17-Jan-2019 16:23:42,Not Listed: Pause,30
Batch_1_TVAS_STM_1_TT-1478_3630567081,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchEnd,17-Jan-2019 16:23:53,Batch End,0
Batch_1_TVAS_STM_1_TT-1478_3630567081,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Pause,17-Jan-2019 16:23:53,Batch End,0
Batch_2_TVAS_STM_1_TT-1478_3630567276,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,17-Jan-2019 16:24:36,Batch Start,43
Batch_2_TVAS_STM_1_TT-1478_3630567276,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchEnd,17-Jan-2019 16:26:38,Batch End,0
Batch_2_TVAS_STM_1_TT-1478_3630567276,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Pause,17-Jan-2019 16:26:38,Batch End,0
Batch_3_TVAS_STM_1_TT-1478_3630567442,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,17-Jan-2019 16:27:22,Batch Start,44
Batch_3_TVAS_STM_1_TT-1478_3630567442,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Stop,17-Jan-2019 16:27:54,Not Listed: Stop,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Exit,17-Jan-2019 16:28:09,Software Exit,15
