BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,08-Apr-2019 12:48:07,Machine Start,0
None,None,GTRON_V1.3_DHOOT_DHOOT-VIP 3_26-09-2018,Ready,08-Apr-2019 12:48:14,Inspection Ready,0
None,None,GTRON_V1.3_DHOOT_DHOOT-VIP 3_26-09-2018,Select,08-Apr-2019 12:50:02,Part Select,108
Batch_1_DAUR_STM_1_70101001-00_3637552807,None,GTRON_V1.3_DHOOT_DHOOT-VIP 3_26-09-2018,BatchStart,08-Apr-2019 12:50:07,Batch Start,5
Batch_1_DAUR_STM_1_70101001-00_3637552807,None,GTRON_V1.3_DHOOT_DHOOT-VIP 3_26-09-2018,Pause,08-Apr-2019 12:50:19,Not Listed: Pause,0
Batch_1_DAUR_STM_1_70101001-00_3637552807,None,GTRON_V1.3_DHOOT_DHOOT-VIP 3_26-09-2018,Run,08-Apr-2019 12:50:35,Not Listed: Pause,16
Batch_1_DAUR_STM_1_70101001-00_3637552807,None,GTRON_V1.3_DHOOT_DHOOT-VIP 3_26-09-2018,Pause,08-Apr-2019 12:50:40,Not Listed: Pause,0
Batch_1_DAUR_STM_1_70101001-00_3637552807,None,GTRON_V1.3_DHOOT_DHOOT-VIP 3_26-09-2018,Run,08-Apr-2019 12:52:20,Not Listed: Pause,100
Batch_1_DAUR_STM_1_70101001-00_3637552807,None,GTRON_V1.3_DHOOT_DHOOT-VIP 3_26-09-2018,Pause,08-Apr-2019 12:52:24,Not Listed: Pause,0
None,None,GTRON_V1.3_DHOOT_DHOOT-VIP 3_26-09-2018,Exit,08-Apr-2019 12:52:54,Software Exit,30
