BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,28-Dec-2018 18:45:44,Machine Start,0
None,None,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,Ready,28-Dec-2018 18:45:44,Inspection Ready,0
None,None,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,Select,28-Dec-2018 18:46:23,Part Select,39
Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628847794,None,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,BatchStart,28-Dec-2018 18:46:34,Batch Start,11
Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628847794,Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628847794_3628847796,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,FailPause,28-Dec-2018 18:46:40,Oil Issue,0
Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628847794,Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628847794_3628847800,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,Run,28-Dec-2018 18:49:06,Oil Issue,146
None,Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628847794_3628848047,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,Exit,28-Dec-2018 18:51:16,Software Exit,0
