BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,17-Jan-2019 16:11:39,Machine Start,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Ready,17-Jan-2019 16:11:40,Inspection Ready,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Select,17-Jan-2019 16:12:07,Part Select,27
Batch_1_TVAS_STM_1_TT-1478_3630566528,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,17-Jan-2019 16:12:08,Batch Start,1
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Exit,17-Jan-2019 16:12:38,Software Exit,0
