BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,21-Jan-2019 12:02:12,Machine Start,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Ready,21-Jan-2019 12:02:13,Inspection Ready,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Select,21-Jan-2019 12:02:31,Part Select,18
Batch_1_TVAS_STM_1_TT-1478_3630897152,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,21-Jan-2019 12:02:32,Batch Start,1
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Exit,21-Jan-2019 12:02:35,Software Exit,0
