BatchID,	Part Name,	Measurement Name,	LSL,	LCL,	Nominal Value,	UCL,	USL,	Mean,	Standard Deviation,	Variance,	Cp,	Cpk
Batch_1_TVAS_STM_1_TT-1478_3630567518,TT-1478,H,1.4000,1.8000,2.0000,1.4000,1.8000,1.549,0.010,0.000,6.560,4.888
Batch_1_TVAS_STM_1_TT-1478_3630567518,TT-1478,W,2.9000,3.1000,2.2500,2.9000,3.1000,3.003,0.014,0.000,2.347,2.284
Batch_1_TVAS_STM_1_TT-1478_3630567518,TT-1478,W1,4.6000,5.0000,3.0000,4.6000,5.0000,4.793,0.018,0.000,3.763,3.636
