BatchID,	Part Name,	Measurement Name,	LSL,	LCL,	Nominal Value,	UCL,	USL,	Mean,	Standard Deviation,	Variance,	Cp,	Cpk
Batch_3_TVAS_STM_1_TT-1478_3630565971,TT-1478,H,1.4000,1.8000,2.0000,1.4000,1.8000,1.553,0.015,0.000,4.483,3.428
Batch_3_TVAS_STM_1_TT-1478_3630565971,TT-1478,W,2.9000,3.1000,2.2500,2.9000,3.1000,2.941,0.199,0.040,0.167,0.069
Batch_3_TVAS_STM_1_TT-1478_3630565971,TT-1478,W1,4.6000,5.0000,3.0000,4.6000,5.0000,4.418,1.188,1.412,0.056,-0.051
