BatchID,	Part Name,	Measurement Name,	LSL,	LCL,	Nominal Value,	UCL,	USL,	Mean,	Standard Deviation,	Variance,	Cp,	Cpk
Batch_2_TVAS_STM_1_TT-1478_3630565736,TT-1478,H,1.4000,1.8000,2.0000,1.4000,1.8000,1.553,0.015,0.000,4.466,3.413
Batch_2_TVAS_STM_1_TT-1478_3630565736,TT-1478,W,2.9000,3.1000,2.2500,2.9000,3.1000,2.878,0.265,0.070,0.126,-0.028
Batch_2_TVAS_STM_1_TT-1478_3630565736,TT-1478,W1,4.6000,5.0000,3.0000,4.6000,5.0000,4.041,1.584,2.508,0.042,-0.118
