PartName,	BatchID,	OperatorName,	Date,	Time,	L,	H,	W,	W1,	C1,	C2,	I1,	I2,	W3,	Result
,	,	,	,	,	2.1500-2.350,	1.4000-1.800,	2.9000-3.100,	4.6000-5.000,	2.5000-2.900,	2.6000-3.200,	4.6000-5.000,	3.8000-4.400,	2.6000-3.000,	
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3632983564,fdf,14-Feb-2019,15:36,Disabled,1.546,3.024,4.821,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3632983564,fdf,14-Feb-2019,15:36,Disabled,1.547,2.995,4.795,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
